Latitude	Long 	YSIFNU
38.08985278	-122.06826	20.15187883
38.089855	-122.0682581	20.12151886
38.08985778	-122.0682557	19.91216589
38.08986185	-122.068255	19.81733384
38.08986519	-122.0682541	19.74229642
38.08986759	-122.0682543	19.57931712
38.08987204	-122.0682541	19.39867946
38.08987593	-122.0682533	19.27067321
38.08987759	-122.0682524	19.24293932
38.08988019	-122.0682526	19.26675157
38.08988352	-122.0682533	19.35133948
38.08988685	-122.0682524	19.72999184
38.08988926	-122.0682498	20.03118568
38.0898937	-122.0682456	19.88633282
38.08989852	-122.0682415	20.03628212
38.08990185	-122.06824	20.11007494
38.08990519	-122.06824	20.060349
38.08990852	-122.0682381	20.27328479
38.08991185	-122.0682348	20.29708325
38.08991518	-122.0682306	20.40723392
38.08991852	-122.0682293	20.58195498
38.08992093	-122.0682291	20.76293901
38.08992352	-122.0682274	20.68546467
38.08992685	-122.0682267	20.59656051
38.08993018	-122.0682248	20.61071854
38.08993352	-122.0682224	20.54252959
38.08993685	-122.0682217	20.20774538
38.08994018	-122.0682207	19.9809645
38.08994167	-122.0682191	19.97790784
38.08994352	-122.0682183	19.93873516
38.08994592	-122.0682174	19.91808803
38.08994852	-122.0682176	19.59030971
38.08995	-122.0682183	19.40330876
38.08995185	-122.0682183	19.52920854
38.08995426	-122.0682174	19.36256534
38.08995592	-122.0682157	19.17352168
38.08995667	-122.0682122	18.98744735
38.08995944	-122.06821	18.93
38.08996259	-122.0682091	18.98101959
38.08996518	-122.0682074	19.05536859
38.08996851	-122.0682057	19.06304396
38.08997092	-122.0682059	19.1273703
38.08997351	-122.0682057	19.15109654
38.08997592	-122.0682041	19.24425089
38.08997667	-122.0682024	19.35882157
38.08997943	-122.0682007	19.3773984
38.08998443	-122.0681972	19.43249313
38.08998851	-122.068195	19.35219157
38.08999277	-122.0681932	19.31183391
38.08999592	-122.0681907	19.45656101
38.08999851	-122.0681882	19.48096005
38.09000092	-122.0681839	19.48439462
38.09000443	-122.0681817	19.57835222
38.09000851	-122.0681817	19.56687052
38.09001184	-122.0681807	19.55428796
38.0900161	-122.06818	19.72775243
38.09001925	-122.0681791	19.76333948
38.09002276	-122.0681765	19.84684212
38.09002592	-122.068175	19.91216558
38.09002759	-122.0681759	19.86855356
38.09002741	-122.0681785	19.91072357
38.09002851	-122.0681809	20.0658324
38.09003092	-122.0681817	20.06219741
38.09003351	-122.0681826	19.98413144
38.09003776	-122.0681833	19.9939855
38.09004092	-122.0681852	20.02579695
38.09004259	-122.0681876	19.94207917
38.09004517	-122.0681883	19.96404009
38.09004759	-122.0681902	19.88892632
38.09005017	-122.0681907	19.66018069
38.09005351	-122.0681891	19.53672881
38.09005684	-122.0681865	19.52448517
38.09006017	-122.0681822	19.29031868
38.09006259	-122.0681791	18.99519464
38.09006517	-122.0681783	18.99233822
38.09006851	-122.0681793	19.13435806
38.09007276	-122.06818	19.11995437
38.09007684	-122.0681782	19.27353125
38.09008017	-122.0681776	19.3690492
38.0900835	-122.0681793	19.30636914
38.09008592	-122.06818	19.3907411
38.09008759	-122.0681809	19.55307539
38.09008925	-122.0681835	19.54273455
38.09009092	-122.0681841	19.61961827
38.0900935	-122.0681833	19.82816438
38.09009684	-122.0681824	19.97428554
38.09009925	-122.0681789	19.9442994
38.09010367	-122.0681757	19.93274825
38.0901085	-122.0681759	19.82346729
38.09011275	-122.0681757	19.67961837
38.09011684	-122.068175	19.15235977
38.09012017	-122.0681732	18.07014463
38.09012258	-122.0681707	18.94018573
38.09012517	-122.0681682	21.09885481
38.09012942	-122.0681685	21.2904336
38.0901335	-122.0681682	20.39993383
38.09013683	-122.0681648	19.78404754
38.09014108	-122.0681606	19.87091847
38.09014517	-122.0681556	19.81174578
38.09014942	-122.0681533	19.88360296
38.09015167	-122.0681533	19.67713431
38.0901535	-122.0681524	19.56396717
38.09015775	-122.0681508	19.59680093
38.09016092	-122.0681482	19.61749761
38.09016442	-122.0681439	19.42546508
38.0901685	-122.0681398	19.25897175
38.09017183	-122.0681365	19.17342086
38.09017333	-122.0681332	19.13
38.09017517	-122.0681298	19.12080062
38.09017941	-122.0681256	19.07770701
38.09018167	-122.0681224	19.07701586
38.0901835	-122.0681208	19.12
38.090185	-122.0681173	19.67385909
38.09018683	-122.0681132	20.59940827
38.09019108	-122.0681108	19.31017566
38.09019608	-122.0681091	16.78920028
38.09020108	-122.0681065	16.81579876
38.09020516	-122.0681032	17.83278411
38.0902085	-122.0680998	17.83265126
38.09021183	-122.0680956	17.57550305
38.09021425	-122.0680924	17.64101143
38.09021683	-122.0680898	17.90688019
38.09021925	-122.0680874	17.94646472
38.09022091	-122.0680858	20.13443879
38.09022349	-122.0680832	19.59141562
38.09022683	-122.0680808	16.54079116
38.09023199	-122.0680791	19.02478834
38.09023591	-122.0680783	20.66024948
38.09023667	-122.0680783	19.73025492
38.09023758	-122.0680747	19.69556882
38.09024107	-122.0680717	19.28781296
38.09024516	-122.0680708	18.76716171
38.09024941	-122.06807	18.59565493
38.09025349	-122.0680682	18.30789948
38.09025774	-122.0680658	17.99559118
38.09026274	-122.068065	18.11382052
38.09026774	-122.0680632	18.35978184
38.09027183	-122.0680598	18.41500458
38.09027516	-122.0680556	18.48513673
38.09027758	-122.0680524	18.54995458
38.09027925	-122.0680508	18.54503641
38.09028274	-122.0680473	18.56515002
38.09028774	-122.0680423	18.60531853
38.09029091	-122.0680382	18.58430428
38.09029349	-122.068033	18.545091
38.09029774	-122.0680273	18.61125638
38.09030182	-122.0680241	18.71606466
38.09030516	-122.0680215	18.82671592
38.09031031	-122.0680182	18.95174709
38.09031516	-122.0680148	19.03579644
38.0903194	-122.0680115	19.01861691
38.09032349	-122.0680082	18.98518658
38.09032773	-122.0680039	19.05240218
38.09033182	-122.0679989	19.00050854
38.09033424	-122.0679939	18.87909009
38.09033773	-122.067988	18.8180706
38.09034	-122.0679823	18.68015934
38.09034364	-122.0679782	18.5215099
38.09035031	-122.0679767	18.39661399
38.09035515	-122.0679758	18.26056433
38.0903594	-122.0679741	18.17407191
38.09036258	-122.0679724	18.10677041
38.09036515	-122.0679689	18.01730674
38.09036849	-122.0679667	17.87834517
38.09037182	-122.0679658	17.7792721
38.09037515	-122.0679632	17.70009186
38.09037758	-122.0679617	17.59147877
38.09038015	-122.0679598	17.49595155
38.09038439	-122.0679574	17.42832583
38.09038939	-122.0679548	17.32308576
38.09039348	-122.0679497	17.40248346
38.09039773	-122.0679439	17.71016468
38.09040364	-122.0679398	18.01872085
38.09040848	-122.0679356	18.28717077
38.09041273	-122.0679315	18.52650985
38.09041863	-122.0679273	18.83953679
38.09042621	-122.0679223	17.61148603
38.09043273	-122.0679182	18.9680981
38.09043772	-122.0679139	22.88648134
38.09044182	-122.0679089	23.54571154
38.09044424	-122.0679058	21.38185154
38.09044591	-122.0679032	19.77791509
38.09044939	-122.0679008	19.93487385
38.09045257	-122.0679	22.38813023
38.09045606	-122.0678991	22.95279116
38.09046015	-122.0678947	21.66969885
38.09046348	-122.0678889	21.97971597
38.09046772	-122.0678839	22.25585043
38.09047454	-122.0678762	21.76834547
38.09048105	-122.0678717	21.87660634
38.09048424	-122.067868	22.4731334
38.09048591	-122.0678623	21.36566803
38.09048848	-122.0678573	20.06269074
38.09049	-122.0678541	26.05904548
38.09049363	-122.0678506	23.75378486
38.09049757	-122.0678465	19.5475665
38.09050105	-122.0678423	20.51544518
38.09050515	-122.0678391	20.51835323
38.09050939	-122.0678347	20.69133414
38.09051438	-122.067828	21.18950838
38.09052029	-122.0678232	21.27217102
38.09052605	-122.067818	21.04566903
38.09053196	-122.0678132	20.82411391
38.09053591	-122.0678062	20.90330271
38.09053938	-122.067798	21.19320552
38.09054529	-122.0677905	21.36146487
